id,code,name,user_type_id:id,reconcile,chart_template_id:id
1420-04,1420-04,ค่าเสื่อมราคาสะสม-เครื่องตกแต่งสำนักงาน,account.data_account_type_depreciation,TRUE,l10n_th_thaiodoo_c1.chart
1420-05,1420-05,ค่าเสื่อมราคาสะสม-ยานพาหนะ,account.data_account_type_depreciation,TRUE,l10n_th_thaiodoo_c1.chart
1420-31,1420-31,ค่าเสื่อมราคาสะสม-เครื่องจักร,account.data_account_type_depreciation,TRUE,l10n_th_thaiodoo_c1.chart
1500-01,1500-01,กรมธรรม์ประกันอัคคีภัย-สินค้าและอาคาร,account.data_account_type_current_assets,TRUE,l10n_th_thaiodoo_c1.chart
1500-02,1500-02,กรมธรรม์ประกันอัคคีภัย-ยานพาหนะ,account.data_account_type_current_assets,TRUE,l10n_th_thaiodoo_c1.chart
1500-03,1500-03,กรมธรรม์ประกันอุบัติเหตุพนักงาน,account.data_account_type_current_assets,TRUE,l10n_th_thaiodoo_c1.chart
1500-04,1500-04,พันธบัตรโทรศัพท์,account.data_account_type_current_assets,TRUE,l10n_th_thaiodoo_c1.chart
1500-11,1500-11,ดอกเบี้ยเช่าซื้อรอตัดบัญชี-ไทยพาณิชย์,account.data_account_type_current_assets,TRUE,l10n_th_thaiodoo_c1.chart
1500-12,1500-12,ดอกเบี้ยเช่าซื้อรอตัดบัญชี-โตโยต้า,account.data_account_type_current_assets,TRUE,l10n_th_thaiodoo_c1.chart
1600-01,1600-01,โปรแกรมบัญชีสำเร็จรูป,account.data_account_type_current_assets,TRUE,l10n_th_thaiodoo_c1.chart
1700-01,1700-01,งานระหว่างก่อสร้าง-อาคาร,account.data_account_type_current_assets,TRUE,l10n_th_thaiodoo_c1.chart
1800-01,1800-01,เงินรับส่งเสริมการขายทองคำรอตัด,account.data_account_type_current_assets,TRUE,l10n_th_thaiodoo_c1.chart
1800-02,1800-02,เงินรับส่งเสริมการขายอื่น ๆ,account.data_account_type_current_assets,TRUE,l10n_th_thaiodoo_c1.chart
2120-01,2120-01,เจ้าหนี้การค้า,account.data_account_type_payable,TRUE,l10n_th_thaiodoo_c1.chart
2120-02,2120-02,เช็คจ่ายล่วงหน้า,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2120-03,2120-03,เจ้าหนี้การค้า-ตปท.,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2131-01,2131-01,เงินเดือนค้างจ่าย,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2131-02,2131-02,เงินโบนัสค้างจ่าย,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2131-03,2131-03,ค่านายหน้าค้างจ่าย,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2131-04,2131-04,เงินประกันสังคมรอนำส่ง,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2131-05,2131-05,ค่าโทรศัพท์ค้างจ่าย,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2131-06,2131-06,ค่าไฟฟ้าค้างจ่าย,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2131-07,2131-07,ค่าน้ำประปาค้างจ่าย,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2131-08,2131-08,ดอกเบี้ยเงินกู้ค้างจ่าย,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2131-09,2131-09,ค่าใช้จ่ายค้างจ่าย-อื่น ๆ,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2131-10,2131-10,ค่าบริการทำบัญชีค้างจ่าย,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2131-11,2131-11,ค่าสอบบัญชีค้างจ่าย,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2131-12,2131-12,เงินสมทบกองทุนปกส.ค้างจ่าย,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2132-01,2132-01,ภาษีหัก ณ ที่จ่ายค้างจ่าย ภงด.1,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2132-02,2132-02,ภาษีหัก ณ ที่จ่ายค้างจ่าย ภงด.3,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2132-03,2132-03,ภาษีหัก ณ ที่จ่ายค้างจ่าย ภงด.53,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2132-04,2132-04,ภาษีเงินได้นิติบุคคลค้างจ่าย,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2133-01,2133-01,รายได้รับล่วงหน้า-ค่าสินค้า,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2133-02,2133-02,รายได้รับล่วงหน้า-ค่านายหน้า,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2134-01,2134-01,เจ้าหนี้ซื้อผ่อนชำระ-ไทยพาณิชย์,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2134-02,2134-02,เจ้าหนี้ซื้อผ่อนชำระ-โตโยต้า ลิสซิ่ง,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2135-00,2135-00,ภาษีขาย,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2136-00,2136-00,ภาษีขาย-รอเรียกเก็บ,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2137-00,2137-00,เจ้าหนี้กรมสรรพากร,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2137-01,2137-01,ภาษีมูลค่าเพิ่ม,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2138-00,2138-00,เงินกู้ยืมจากกรรมการ,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2210-00,2210-00,เงินกู้ยืมธนาคารระยะยาว,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
2300-00,2300-00,หนี้สินอื่น ๆ,account.data_account_type_current_liabilities,TRUE,l10n_th_thaiodoo_c1.chart
3100-01,3100-01,ทุน-หุ้นสามัญ,account.data_account_type_equity,TRUE,l10n_th_thaiodoo_c1.chart
3100-02,3100-02,ทุน-หุ้นบุริมสิทธิ์,account.data_account_type_equity,TRUE,l10n_th_thaiodoo_c1.chart
3100-11,3100-11,ส่วนเกินมูลค่า-หุ้นสามัญ,account.data_account_type_equity,TRUE,l10n_th_thaiodoo_c1.chart
3201-01,3201-01,จัดสรรแล้ว - สำรองตามกฎหมาย,account.data_account_type_equity,TRUE,l10n_th_thaiodoo_c1.chart
3202-00,3202-00,กำไร(ขาดทุน)-ยังไม่จัดสรร,account.data_account_type_equity,TRUE,l10n_th_thaiodoo_c1.chart
4100-01,4100-01,รายได้จากการขายสินค้า,account.data_account_type_revenue,TRUE,l10n_th_thaiodoo_c1.chart
4100-02,4100-02,รายได้จากการให้บริการ,account.data_account_type_revenue,TRUE,l10n_th_thaiodoo_c1.chart
4100-03,4100-03,รับคืนสินค้า,account.data_account_type_revenue,TRUE,l10n_th_thaiodoo_c1.chart
4100-04,4100-04,ส่วนลดจ่าย,account.data_account_type_revenue,TRUE,l10n_th_thaiodoo_c1.chart
4200-01,4200-01,ดอกเบี้ยรับ,account.data_account_type_other_income,TRUE,l10n_th_thaiodoo_c1.chart
